,Unnamed: 0,PGN,Mode,Result,Average Rating,Rating Difference,Termination Type,w_checks,w_avg_possible_checks,w_castling,w_avg_possible_moves,w_avg_reachable_squares,w_avg_threatened_pieces,w_avg_pieces_left,b_checks,b_avg_possible_checks,b_castling,b_avg_possible_moves,b_avg_reachable_squares,b_avg_threatened_pieces,b_avg_pieces_left
0,0,1. e4 g6 2. d4 Bg7 3. c3 d6 4. Qf3 Nf6 5. h3 O-O 6. Bg5 Nbd7 7. Bc4 a6 8. h4 b5 9. Bd5 Nxd5 10. exd5 Bb7 11. h5 Nf6 12. h6 Bh8 13. Bxf6 Bxf6 14. Nd2 Qd7 15. Qh3 Qxh3 16. Rxh3 Bxd5 17. g4 Be6 18. Rg3 Bh4 19. Rg2 f5 20. Ngf3 Bf6 21. g5 Bh8 22. Nh4 c5 23. Rh2 cxd4 24. cxd4 Bxd4 25. Nxg6 hxg6 26. h7+ Kh8 27. Nf3 Bxb2 28. Rb1 Bc3+ 29. Kf1 Rf7 30. Nh4 Rg7 31. Nf3 Rxh7 32. Rxh7+ Kxh7 33. Rc1 b4 34. Ke2 Bxa2 35. Nd2 Kg7 36. Nf3 e5 37. Nh4 a5 38. Rd1 Bc4+ 39. Ke3 d5 40. Nf3 a4 41. Nd2 Bxd2+,Classical,Black Wins,1538,-262,Time forfeit,0.0,0.6363636363578512,0.0,36.909090908755374,29.18181818155289,1.363636363623967,38.42857142838844,0.0,0.0,1.0,26.599999999734,35.599999999644,2.699999999973,38.5714285712449
1,1,1. d4 Nf6 2. c4 g6 3. a3 Bg7 4. Nf3 O-O 5. Nc3 a5 6. Bf4 d6 7. e3 Nbd7 8. Be2 Nh5 9. Bg3 Nxg3 10. fxg3 Nf6 11. O-O Ng4 12. Qd2 e5 13. dxe5 Nxe5 14. Nxe5 Bxe5 15. Rf2 Be6 16. b3 Qg5 17. Raf1 f5 18. Bf3 c6 19. Ne2 Rfe8 20. Nf4 Bf7 21. b4 axb4 22. Qxb4 Qe7 23. Qb3 Ra6 24. g4 Rea8 25. gxf5 Rxa3 26. Qc2 Rc3 27. Qd1 g5 28. Nd5 cxd5 29. Bxd5 Rxe3 30. Bxf7+ Qxf7 31. f6 Ra1 32. Qd5 Rxf1+ 33. Rxf1 Qxd5 34. cxd5 Kf7 35. Kf2 Rb3 36. Ke2 Bxh2,Blitz,Black Wins,1492,-220,Time forfeit,0.0,0.0,1.0,34.18181818150744,29.454545454277685,1.181818181807438,38.42857142838844,0.0,0.0,1.0,26.299999999737,32.99999999967,0.399999999996,38.5714285712449
2,2,1. e4 c5 2. Qf3 e5 3. Bc4 Nf6 4. Nh3 h6 5. g4 g5 6. Ng1 a6 7. h4 Bg7 8. hxg5 hxg5 9. Rxh8+ Bxh8 10. Nh3 b5 11. Bd5 Ra7 12. Nxg5 Nxd5 13. Qxf7#,Blitz,White Wins,1413,213,Normal,1.0,0.9090909090826447,0.0,36.72727272693884,30.36363636336033,2.0909090908900825,37.76190476172495,0.0,0.0,0.0,21.99999999978,31.599999999684,3.699999999963,37.47619047601202
3,3,1. e4 e5 2. Nf3 d6 3. Nc3 f5 4. exf5 Bxf5 5. d3 Nf6 6. h3 Be7 7. Be3 Nc6 8. a3 d5 9. Bd2 d4 10. g4 dxc3 11. Bxc3 Be6 12. Nxe5 Nxe5 13. Bxe5 O-O 14. Qe2 Qd5 15. Bxc7 Bc5 16. f3 Rae8 17. O-O-O Qa2 18. b4,Blitz,Black Wins,1444,-358,Normal,0.0,0.2727272727247934,0.0,31.909090908800827,31.36363636335124,2.0909090908900825,38.04761904743787,0.0,0.0,0.0,34.99999999965,34.099999999659,1.599999999984,38.23809523791316
4,4,1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Ne4 5. Nce2 c5 6. c3 cxd4 7. Nxd4 Nc6 8. Nxc6 bxc6 9. Bd3 Bc5 10. Bxe4 dxe4 11. Qxd8+ Kxd8 12. Ne2 Ba6 13. Ng3 Bd3 14. Bg5+ Be7 15. Rd1 Bxg5 16. f3 Bf6 17. fxe4 Ke7 18. exf6+ gxf6 19. Rxd3,Bullet,White Wins,1931,117,Normal,1.0,0.5454545454495868,0.0,33.909090908782645,33.36363636333306,2.727272727247934,37.38095238077438,0.0,0.299999999997,0.0,34.299999999657,35.199999999648,2.299999999977,36.714285714110886
5,5,1. f3 e5 2. g4 d5 3. Bg2 d4 4. c4 dxc3 5. Nxc3 Nc6 6. Qa4 Qh4+ 7. Kd1 Qf2 8. Bh3 Bd7 9. Nd5 O-O-O 10. d3 Nd4 11. Be3 Bxa4+ 12. b3 Bxb3+ 13. axb3 Qh4 14. f4 Rxd5 15. fxe5 Bb4 16. Rxa7 Qe1#,Blitz,Black Wins,1209,-43,Normal,0.0,0.6363636363578512,0.0,23.999999999781817,34.90909090877356,4.363636363596695,38.3333333331508,1.0,1.99999999998,1.0,37.099999999629,31.99999999968,2.199999999978,38.38095238076962
6,6,1. d4 c6 2. Nf3 d5 3. g3 Nf6 4. Bg2 e6 5. O-O Be7 6. Bd2 c5 7. dxc5 Bxc5 8. c3 a6 9. b4 b5 10. a4 Bd6 11. axb5 Bb7 12. Ra5 Bc7 13. Ra2 axb5 14. Rxa8 Bxa8 15. Qc2 Bb7 16. Bg5 O-O 17. Bxf6 Qxf6 18. Nd4 Qd8 19. Nxb5 Bd6 20. Nd4 Be7 21. f4 Bf6 22. Nd2 Qc7 23. Qd3 Rc8 24. N2f3 Qxc3 25. Qxc3 Rxc3 26. Rb1 Rc4 27. b5 Bxd4+ 28. Nxd4 Rxd4 29. b6 Nd7 30. e4 Rxe4 31. Bxe4 dxe4 32. Rc1 Nxb6 33. Rc7 Nd5 34. Rxb7 h6 35. Rb8+ Kh7 36. Kf2 Kg6 37. Rb7 Kf5 38. h3 g5 39. Rxf7+ Kg6 40. Re7 Kf6 41. Rh7 Kg6 42. Rb7 Kf6 43. Rb5 Ne7 44. Rb4 Kf5 45. g4+ Kf6 46. Rb7 Nd5 47. Rh7 Kg6 48. Ra7 Kf6 49. Ra4 Kg6 50. Rxe4 gxf4 51. Rxe6+,Bullet,White Wins,1662,196,Time forfeit,0.0,0.09090909090826446,1.0,29.818181817910745,30.90909090880992,0.7272727272661157,38.619047618863725,0.0,0.599999999994,0.0,31.399999999686,30.299999999697,0.699999999993,38.52380952362608
7,7,1. e4 e6 2. d4 d5 3. Nc3 c5 4. exd5 exd5 5. dxc5 Bxc5 6. Qxd5 Qxd5 7. Nxd5 Bd6 8. Bf4 Bxf4 9. Nxf4 Nf6 10. Nf3 O-O 11. O-O-O Nc6 12. Bb5 Nb4 13. a3 Nc6 14. Bxc6 bxc6 15. h3 Rb8 16. g4 c5 17. g5 Ne4 18. Rhf1 c4 19. Ne2 Bxh3 20. Rg1 Nxf2 21. Rd4 Rfe8 22. Nc3 Bf5 23. Rxc4 Ne4 24. Nd4 Nxc3 25. bxc3 Bg6 26. Rb4 Rbc8 27. Kb2 h6 28. gxh6 gxh6 29. Nf5 Kh7 30. Nd6 Red8 31. Nxc8 Rxc8 32. Re1 Rd8 33. Re7 Rd2 34. Kb3 Rxc2 35. Ka4 Rxc3 36. Rbb7 h5 37. Rxa7 h4 38. Kb4 Rf3 39. Re1 h3 40. Rh1 Kh6 41. Rh2 Kh5 42. Ra5+ Kh4 43. Rc5 Kg3 44. Rcc2 Bxc2 45. Rxc2 Rf2 46. Rc3+ Kg2 47. a4 h2 48. Rc8 h1=Q 49. Rg8+ Kf1 50. a5 Rf4+ 51. Kc5 Qe4 52. Kb6 Rf5,Bullet,Black Wins,1788,81,Time forfeit,0.0,1.2727272727157024,1.0,34.2727272724157,29.909090908819007,0.9090909090826447,32.619047618892296,0.0,0.699999999993,1.0,31.599999999684,33.799999999662,2.099999999979,32.57142857127347
8,8,1. f4 d5 2. Nf3 c5 3. e3 Bg4 4. Bb5+ Nd7 5. Bxd7+ Qxd7 6. Ne5 Bxd1 7. Nxd7 Bxc2 8. Nxf8 Kxf8 9. Na3 Bd3 10. b3 Nf6 11. Bb2 e6 12. Bxf6 gxf6 13. Rc1 b6 14. Kf2 Ke7 15. Nc2 f5 16. Ne1 Bb5 17. Nf3 f6 18. d4 Rac8 19. Rhd1 c4 20. b4 a6 21. Rc3 Ba4 22. Rb1 b5 23. a3 a5 24. bxa5 Ra8 25. h3 Rxa5 26. g4 fxg4 27. hxg4 Rg8 28. Kg3 h5 29. g5 fxg5 30. Nxg5 Bb3 31. Rbxb3 cxb3 32. Rc7+ Kd6 33. Rc3 Rxa3 34. Kh4 b4 35. Rc5 b2 36. Nf7+ Ke7 37. Ne5 b1=Q 38. Rc7+ Kd8,Bullet,Black Wins,1922,54,Normal,2.0,0.2727272727247934,0.0,24.090909090690083,30.54545454517686,1.7272727272570247,31.761904761753517,0.0,0.0,0.0,23.799999999762,28.399999999716,2.699999999973,32.285714285560545
9,9,1. e4 e5 2. Nf3 Nf6 3. d3 Bc5 4. Be2 Nc6 5. c3 d5 6. O-O O-O 7. exd5 Nxd5 8. d4 exd4 9. cxd4 Bb6 10. Qd3 Ndb4 11. Qc3 Bxd4 12. Nxd4 Qxd4 13. Qxd4 Nxd4 14. Bd1 Ndc2 15. Bxc2 Nxc2 16. Nc3 Nxa1 17. Bf4 Nc2 18. Rc1 Nb4 19. Bxc7 Be6 20. Bd6 Nd3 21. Rc2 Rfe8 22. Nb5 Rec8 23. Rd2 Rc1+,Classical,Black Wins,1544,-208,Normal,0.0,0.09090909090826446,1.0,31.090909090626447,33.54545454514959,2.1818181817983473,38.3333333331508,0.0,0.599999999994,1.0,35.699999999643,33.199999999668,1.799999999982,38.3333333331508
